shift_date,host_id
2019-12-13,8
2020-01-03,8
2020-01-07,8
2020-01-13,8
2020-01-20,8
2020-01-24,8
2020-01-30,8
2020-02-03,8
2020-02-05,8
2020-02-11,8
2020-02-19,8
2020-02-21,8
2020-02-27,8
2020-03-02,8
2020-03-12,8
2020-03-16,8
2020-03-24,8
2020-03-30,8
2019-12-14,162
2019-12-15,150
2019-12-16,31
2019-12-18,135
2019-12-20,147
2019-12-21,162
2019-12-22,150
2019-12-23,120
2019-12-24,135
2019-12-26,31
2019-12-27,138
2019-12-28,120
2019-12-29,150
2019-12-30,95
2019-12-31,138
2020-01-01,120
2020-01-04,162
2020-01-05,31
2020-01-09,147
2020-01-11,95
2020-01-12,140
2020-01-15,115
2020-01-17,135
2020-01-18,138
2020-01-19,140
2020-01-22,147
2020-01-25,95
2020-01-26,140
2020-01-28,147
2020-02-01,147
2020-02-02,115
2020-02-07,31
2020-02-08,31
2020-02-09,140
2020-02-13,135
2020-02-14,162
2020-02-15,95
2020-02-16,150
2020-02-17,150
2020-02-22,103
2020-02-23,150
2020-02-25,115
2020-02-29,162
2020-03-01,115
2020-03-04,135
2020-03-06,147
2020-03-07,147
2020-03-08,115
2020-03-10,103
2020-03-14,103
2020-03-15,138
2020-03-18,115
2020-03-20,147
2020-03-21,103
2020-03-22,120
2020-03-26,103
2020-03-28,138
2020-03-29,95